City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,62.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
1,Kaitangata,NZ,51.85,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
2,Oussouye,SN,75.61,overcast clouds,12.485,-16.5469,Auberge du Routard
3,Bang Rakam,TH,87.8,few clouds,16.7585,100.1174,เมญ่า&เนย
6,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le four à pain
8,Sao Gotardo,BR,65.14,scattered clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
9,Kodiak,US,54.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
10,Cururupu,BR,76.73,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
11,Samarai,PG,80.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
12,Fairbanks,US,50.09,moderate rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
13,Gimli,CA,64.42,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
15,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
16,Dingle,PH,86.59,light rain,10.9995,122.6711,SEGAYA PROPERTY
17,Port Augusta,AU,76.84,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
18,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Zhezkazgan,KZ,69.78,clear sky,47.8043,67.7144,Hotel Zumrat
20,Port Hardy,CA,51.8,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
21,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
22,Hermanus,ZA,53.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Nikolskoye,RU,51.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
26,Ahipara,NZ,59.9,light rain,-35.1667,173.1667,Ahipara Holiday Park
27,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Central
29,Waingapu,ID,88.09,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
30,Abu Kamal,SY,89.24,few clouds,34.4506,40.9171,البوكمال
31,Caravelas,BR,66.52,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
32,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Cape Town,ZA,58.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Uusikaupunki,FI,50.43,overcast clouds,60.8004,21.4084,Hotel Aquarius
35,Busselton,AU,63.07,overcast clouds,-33.65,115.3333,Observatory Guest House
36,Esperance,AU,62.78,broken clouds,-33.8667,121.9,Hospitality Esperance
38,Novyy Oskol,RU,55.72,overcast clouds,50.7631,37.8691,Hotel Chistopol
39,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
40,Port Alfred,ZA,55.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
45,Ginda,IN,75.09,few clouds,30.6945,78.4932,Bhandari hi tech plant nursary.
46,Chuy,UY,55.49,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Samarinda,ID,84.47,broken clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
50,Rikitea,PF,72.84,clear sky,-23.1203,-134.9692,People ThankYou
52,Marawi,PH,80.26,scattered clouds,7.9986,124.2928,Derogongan Residence
53,Ribeira Grande,PT,73.94,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
