City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,62.06,54,75,8.05,broken clouds
1,Kaitangata,NZ,-46.2817,169.8464,51.85,88,100,3.36,overcast clouds
2,Oussouye,SN,12.485,-16.5469,75.61,89,99,1.83,overcast clouds
3,Bang Rakam,TH,16.7585,100.1174,87.8,62,20,5.75,few clouds
4,Dikson,RU,73.5069,80.5464,33.08,74,100,5.5,overcast clouds
5,Lieksa,FI,63.3167,30.0167,49.32,81,100,19.08,overcast clouds
6,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,37,14.63,light rain
7,Narsaq,GL,60.9167,-46.05,39.42,84,45,3.38,scattered clouds
8,Sao Gotardo,BR,-19.3111,-46.0489,65.14,51,31,3.31,scattered clouds
9,Kodiak,US,57.79,-152.4072,54.91,71,100,6.91,overcast clouds
10,Cururupu,BR,-1.8283,-44.8683,76.73,87,87,6.08,overcast clouds
11,Samarai,PG,-10.6167,150.6667,80.76,85,100,12.68,overcast clouds
12,Fairbanks,US,64.8378,-147.7164,50.09,91,100,8.05,moderate rain
13,Gimli,CA,50.6336,-96.9907,64.42,88,80,12.66,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,11.5,scattered clouds
15,Ko Samui,TH,9.5357,99.9357,89.51,58,20,10.36,few clouds
16,Dingle,PH,10.9995,122.6711,86.59,69,100,12.17,light rain
17,Port Augusta,AU,-32.5,137.7667,76.84,36,98,36.35,overcast clouds
18,Kapaa,US,22.0752,-159.319,82.38,71,20,17.27,few clouds
19,Zhezkazgan,KZ,47.8043,67.7144,69.78,17,0,13.42,clear sky
20,Port Hardy,CA,50.6996,-127.4199,51.8,100,0,3.44,clear sky
21,Katsuura,JP,35.1333,140.3,77.02,84,100,17.94,overcast clouds
22,Hermanus,ZA,-34.4187,19.2345,53.8,75,36,5.08,scattered clouds
23,Barrow,US,71.2906,-156.7887,39.22,93,40,6.91,scattered clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,66.54,92,63,8.01,broken clouds
25,Nikolskoye,RU,59.7035,30.7861,51.69,87,100,9.6,overcast clouds
26,Ahipara,NZ,-35.1667,173.1667,59.9,92,100,6.67,light rain
