City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2022-09-17 19:13:32,68.75,161.3,31.69,74,100,12.44
1,Tarko-Sale,RU,2022-09-17 19:13:32,64.9225,77.785,49.46,68,100,12.97
2,Port Alfred,ZA,2022-09-17 19:13:32,-33.5906,26.891,61.18,97,100,1.99
3,Horlesti,RO,2022-09-17 19:13:33,47.1167,27.3667,59.11,93,100,5.46
4,Libreville,GA,2022-09-17 19:09:37,0.3925,9.4537,77.5,81,100,10.51
5,Torbay,CA,2022-09-17 19:13:33,47.6666,-52.7314,60.58,76,75,21.85
6,Port Hardy,CA,2022-09-17 19:13:33,50.6996,-127.4199,53.78,87,75,4.61
7,Katsuura,JP,2022-09-17 19:13:34,35.1333,140.3,78.75,88,100,13.27
8,Naze,JP,2022-09-17 19:13:34,28.3667,129.4833,78.17,91,100,41.54
9,Ninh Binh,VN,2022-09-17 19:11:26,20.2539,105.975,78.19,91,17,2.51
10,Fortuna,US,2022-09-17 19:13:35,40.5982,-124.1573,64.92,74,100,3.0
11,Bambanglipuro,ID,2022-09-17 19:13:35,-7.95,110.2833,76.06,84,74,7.47
12,Kapaa,US,2022-09-17 19:13:35,22.0752,-159.319,82.38,81,0,4.61
13,Ushuaia,AR,2022-09-17 19:13:36,-54.8,-68.3,40.66,70,40,27.63
14,Mataura,NZ,2022-09-17 19:13:36,-46.1927,168.8643,36.21,95,89,3.47
15,Mar Del Plata,AR,2022-09-17 19:13:36,-38.0023,-57.5575,64.09,87,100,25.01
16,Tynda,RU,2022-09-17 19:13:37,55.1667,124.7167,36.39,99,100,6.4
17,Dabakala,CI,2022-09-17 19:13:38,8.3667,-4.4333,73.29,96,99,4.16
18,Punta Arenas,CL,2022-09-17 19:13:39,-53.15,-70.9167,46.51,46,0,25.32
19,Lianran,CN,2022-09-17 19:13:39,24.9227,102.485,60.98,96,16,1.25
20,Hilo,US,2022-09-17 19:13:39,19.7297,-155.09,89.28,65,0,5.99
21,Tautira,PF,2022-09-17 19:13:40,-17.7333,-149.15,76.5,79,43,22.55
22,Port-Cartier,CA,2022-09-17 19:12:00,50.0334,-66.8654,62.74,37,41,13.0
23,Rikitea,PF,2022-09-17 19:13:40,-23.1203,-134.9692,72.52,76,0,20.04
24,Atuona,PF,2022-09-17 19:13:41,-9.8,-139.0333,77.23,72,10,20.11
25,Bumba,CD,2022-09-17 19:13:41,2.1833,22.4667,73.44,90,95,4.09
26,Si Bun Ruang,TH,2022-09-17 19:13:42,16.9667,102.2833,76.24,88,100,2.15
27,Taoudenni,ML,2022-09-17 19:13:43,22.6783,-3.9836,99.3,13,5,9.22
28,Yellowknife,CA,2022-09-17 19:13:43,62.456,-114.3525,48.72,81,75,11.5
29,Mwingi,KE,2022-09-17 19:13:44,-0.9344,38.0601,70.5,54,62,11.1
30,Jamestown,US,2022-09-17 19:13:44,42.097,-79.2353,79.02,49,40,6.91
31,Richards Bay,ZA,2022-09-17 19:13:44,-28.783,32.0377,67.3,84,88,2.01
32,Atambua,ID,2022-09-17 19:13:45,-9.1061,124.8925,71.13,82,100,2.13
33,Bambous Virieux,MU,2022-09-17 19:13:45,-20.3428,57.7575,71.85,73,40,18.41
34,Hoa Binh,VN,2022-09-17 19:13:45,20.8133,105.3383,76.24,95,21,1.77
35,Upernavik,GL,2022-09-17 19:13:46,72.7868,-56.1549,36.57,66,58,21.27
36,Vieux-Habitants,GP,2022-09-17 19:13:46,16.0589,-61.7659,72.97,85,100,17.47
37,Puerto Ayora,EC,2022-09-17 19:13:47,-0.7393,-90.3518,75.16,84,98,8.01
38,Sawtell,AU,2022-09-17 19:13:47,-30.3833,153.1,60.82,48,16,10.36
39,Palmer,US,2022-09-17 19:13:47,42.1584,-72.3287,72.25,51,20,3.44
40,Fujin,CN,2022-09-17 19:13:48,47.26,132.0322,56.62,98,100,5.19
41,Hermanus,ZA,2022-09-17 19:14:48,-34.4187,19.2345,53.8,73,100,5.79
42,Biltine,TD,2022-09-17 19:14:48,14.5333,20.9167,82.62,60,95,5.35
43,Jugno,PH,2022-09-17 19:14:49,9.4683,123.2038,79.21,84,91,4.61
44,Bluff,NZ,2022-09-17 19:14:49,-46.6,168.3333,41.95,84,100,9.26
45,Bowen,AU,2022-09-17 19:14:49,-20.0167,148.2333,71.67,93,6,2.75
46,Tuktoyaktuk,CA,2022-09-17 19:14:50,69.4541,-133.0374,46.4,81,75,14.97
47,Lodwar,KE,2022-09-17 19:14:50,3.1191,35.5973,88.63,32,1,5.82
48,Barrow,US,2022-09-17 19:11:47,71.2906,-156.7887,33.82,93,100,24.16
49,Marsh Harbour,BS,2022-09-17 19:14:51,26.5412,-77.0636,84.11,72,15,13.96
50,Busselton,AU,2022-09-17 19:14:51,-33.65,115.3333,52.36,85,84,3.49
51,Namibe,AO,2022-09-17 19:14:51,-15.1961,12.1522,65.41,92,53,8.03
52,Ponta Do Sol,PT,2022-09-17 19:14:52,32.6667,-17.1,79.0,88,52,8.57
53,Thompson,CA,2022-09-17 19:14:52,55.7435,-97.8558,64.56,48,40,5.75
54,Doctor Juan Manuel Frutos,PY,2022-09-17 19:14:52,-25.3667,-55.8,79.14,30,0,10.92
55,Ancud,CL,2022-09-17 19:14:53,-41.8697,-73.8203,49.23,52,29,3.89
56,Albany,US,2022-09-17 19:12:47,42.6001,-73.9662,73.17,62,32,1.01
57,Castro,BR,2022-09-17 19:14:53,-24.7911,-50.0119,61.23,54,0,10.92
58,Darnah,LY,2022-09-17 19:14:54,32.767,22.6367,76.35,70,0,5.12
59,Nandi,IN,2022-09-17 19:14:54,13.3855,77.6984,74.71,88,65,7.67
60,Amparafaravola,MG,2022-09-17 19:14:54,-17.5833,48.2167,55.26,95,0,3.4
61,San Rafael,AR,2022-09-17 19:14:55,-34.6177,-68.3301,70.03,24,0,17.94
62,Saint Anthony,US,2022-09-17 19:14:55,45.0205,-93.218,81.14,63,0,12.66
63,Georgetown,MY,2022-09-17 19:14:55,5.4112,100.3354,81.95,87,20,10.36
64,Xingyi,CN,2022-09-17 19:14:56,24.1877,102.817,59.99,97,50,1.05
65,Kavaratti,IN,2022-09-17 19:14:56,10.5669,72.642,80.28,80,100,10.6
66,Namwala,ZM,2022-09-17 19:14:57,-15.7504,26.4384,76.42,28,29,6.22
67,Cuddapah,IN,2022-09-17 19:14:57,14.4667,78.8167,82.71,63,64,6.82
68,Hobart,AU,2022-09-17 19:14:57,-42.8794,147.3294,46.06,87,40,8.05
69,Kahului,US,2022-09-17 19:14:58,20.8947,-156.47,84.22,61,20,7.0
70,Havre-Saint-Pierre,CA,2022-09-17 19:14:58,50.2334,-63.5986,58.15,51,62,18.84
71,New Norfolk,AU,2022-09-17 19:14:58,-42.7826,147.0587,45.72,79,75,3.11
72,Celestun,MX,2022-09-17 19:14:59,20.8667,-90.4,88.61,61,11,10.89
73,Camana,PE,2022-09-17 19:14:59,-16.6228,-72.7111,64.54,74,56,9.24
74,Saint-Philippe,RE,2022-09-17 19:14:59,-21.3585,55.7679,69.39,82,40,13.73
75,Mardin,TR,2022-09-17 19:15:00,37.3131,40.7436,79.79,19,0,3.71
76,Cape Town,ZA,2022-09-17 19:13:38,-33.9258,18.4232,57.11,75,40,5.75
77,Bredasdorp,ZA,2022-09-17 19:15:00,-34.5322,20.0403,52.21,80,100,4.05
78,Vaini,TO,2022-09-17 19:15:01,-21.2,-175.2,75.36,83,75,11.5
79,Constitucion,CL,2022-09-17 19:15:01,-35.3333,-72.4167,50.22,90,100,10.27
80,Broken Hill,AU,2022-09-17 19:15:02,-31.95,141.4333,46.56,82,5,9.31
81,Port Elizabeth,ZA,2022-09-17 19:15:02,-33.918,25.5701,62.1,91,0,12.66
82,Port Lincoln,AU,2022-09-17 19:15:03,-34.7333,135.8667,54.45,76,100,18.07
83,Mount Isa,AU,2022-09-17 19:15:03,-20.7333,139.5,67.77,28,55,8.05
84,Severo-Kurilsk,RU,2022-09-17 19:15:04,50.6789,156.125,48.7,86,15,8.12
85,Lebu,CL,2022-09-17 19:15:04,-37.6167,-73.65,47.07,72,88,13.09
86,Nuevo Progreso,MX,2022-09-17 19:15:04,23.1667,-97.95,84.47,71,16,1.99
87,Codrington,AU,2022-09-17 19:16:05,-38.2667,141.9667,49.5,82,100,16.15
88,Eureka,US,2022-09-17 19:11:26,40.8021,-124.1637,69.75,75,100,1.01
89,Hithadhoo,MV,2022-09-17 19:16:05,-0.6,73.0833,82.11,71,18,8.14
90,Kruisfontein,ZA,2022-09-17 19:16:06,-34.0033,24.7314,59.88,84,100,10.6
91,Mutsu,JP,2022-09-17 19:16:06,41.2894,141.2169,69.93,87,99,3.67
92,Tasiilaq,GL,2022-09-17 19:16:07,65.6145,-37.6368,39.36,96,100,16.62
93,Mosquera,CO,2022-09-17 19:15:31,4.7059,-74.2302,62.69,67,75,9.22
94,Saint-Paul,RE,2022-09-17 19:16:07,-21.0096,55.2707,69.91,73,5,6.02
95,Turukhansk,RU,2022-09-17 19:16:07,65.8167,87.9833,42.78,98,100,11.14
96,Daoukro,CI,2022-09-17 19:16:08,7.0591,-3.9631,73.13,97,7,2.86
97,Burnie,AU,2022-09-17 19:16:08,-41.0667,145.9167,47.95,90,100,12.77
98,Veraval,IN,2022-09-17 19:16:09,20.9,70.3667,81.23,68,100,8.03
99,Katherine,AU,2022-09-17 19:16:09,-14.4667,132.2667,82.72,54,40,8.05
100,Norman Wells,CA,2022-09-17 19:16:09,65.282,-126.8329,57.24,58,20,8.05
101,Charters Towers,AU,2022-09-17 19:16:10,-20.1,146.2667,66.36,91,14,5.28
102,Ribeira Grande,PT,2022-09-17 19:16:10,38.5167,-28.7,75.6,88,75,12.66
103,Chokurdakh,RU,2022-09-17 19:16:10,70.6333,147.9167,30.24,82,49,6.15
104,Leningradskiy,RU,2022-09-17 19:16:11,69.3833,178.4167,33.6,99,100,18.14
105,Hamilton,US,2022-09-17 19:12:43,39.1834,-84.5333,85.75,52,20,8.05
106,La Ronge,CA,2022-09-17 19:15:19,55.1001,-105.2842,62.82,41,75,5.75
107,Aykhal,RU,2022-09-17 19:16:12,66.0,111.5,25.38,89,100,27.76
108,Xining,CN,2022-09-17 19:16:12,36.6167,101.7667,56.89,77,100,1.16
109,Arman,RU,2022-09-17 19:16:12,59.7,150.1667,39.24,58,4,4.88
110,Butaritari,KI,2022-09-17 19:16:13,3.0707,172.7902,81.3,71,100,12.71
111,Avarua,CK,2022-09-17 19:16:13,-21.2078,-159.775,77.05,78,0,12.66
112,Ostrovnoy,RU,2022-09-17 19:16:14,68.0531,39.5131,47.89,98,100,7.27
113,Kavieng,PG,2022-09-17 19:16:14,-2.5744,150.7967,81.63,70,42,8.1
114,Bandarbeyla,SO,2022-09-17 19:16:15,9.4942,50.8122,77.27,85,100,25.34
115,Sisimiut,GL,2022-09-17 19:16:15,66.9395,-53.6735,46.87,78,100,9.15
116,Poum,NC,2022-09-17 19:16:16,-20.2333,164.0167,74.1,71,0,13.38
117,Chifeng,CN,2022-09-17 19:14:52,42.2683,118.9636,56.19,37,8,6.64
118,Chimore,BO,2022-09-17 19:16:16,-16.9833,-65.1333,93.31,34,3,5.79
119,Salalah,OM,2022-09-17 19:16:17,17.0151,54.0924,80.69,94,75,5.75
120,Bathsheba,BB,2022-09-17 19:16:17,13.2167,-59.5167,86.61,74,75,14.97
121,Guerrero Negro,MX,2022-09-17 19:16:17,27.9769,-114.0611,73.92,64,0,15.19
122,Ouagadougou,BF,2022-09-17 19:16:18,12.3642,-1.5383,80.73,83,20,4.61
123,Batagay,RU,2022-09-17 19:16:18,67.6333,134.6333,31.84,73,32,5.03
124,Pevek,RU,2022-09-17 19:16:18,69.7008,170.3133,33.55,98,100,19.53
125,Sinnamary,GF,2022-09-17 19:16:19,5.3833,-52.95,85.3,66,8,13.4
126,Airai,TL,2022-09-17 19:16:19,-8.9266,125.4092,58.01,74,100,1.74
127,Clyde River,CA,2022-09-17 19:13:46,70.4692,-68.5914,35.83,87,100,16.11
128,Cockburn Town,TC,2022-09-17 19:16:20,21.4612,-71.1419,87.76,66,40,13.8
129,Baikunthpur,IN,2022-09-17 19:16:20,23.25,82.55,73.31,90,100,3.22
130,Parabel,RU,2022-09-17 19:17:20,58.6978,81.4825,46.8,82,97,5.35
131,Araxa,BR,2022-09-17 19:13:28,-19.5933,-46.9406,78.22,40,100,6.42
132,Mount Gambier,AU,2022-09-17 19:17:21,-37.8333,140.7667,49.91,87,100,9.22
133,Abu Zabad,SD,2022-09-17 19:17:21,12.35,29.25,79.5,68,73,3.47
134,Chota,PE,2022-09-17 19:17:22,-6.55,-78.65,65.53,66,71,5.73
135,Cayenne,GF,2022-09-17 19:12:34,4.9333,-52.3333,89.64,58,0,16.11
136,Sanchor,IN,2022-09-17 19:17:22,24.7553,71.7722,79.72,75,0,7.45
137,Nova Olimpia,BR,2022-09-17 19:17:23,-14.7972,-57.2881,103.71,19,9,3.71
138,Avera,US,2022-09-17 19:17:23,33.194,-82.5271,85.55,37,0,9.1
139,Tuatapere,NZ,2022-09-17 19:17:24,-46.1333,167.6833,40.44,86,100,6.08
